year,month,resNm,ForNum,NatNum
2011,01,창덕궁,14137,43677
2011,01,운현궁,0,6523
2011,01,경복궁,40224,141183
2011,01,창경궁,697,17644
2011,01,종묘,6837,11486
2011,01,국립중앙박물관,0,260272
2011,01,서울역사박물관,0,57787
2011,01,덕수궁,5743,92135
2011,01,서울시립미술관 본관,0,234587
2011,01,태릉 ·  강릉 · 조선왕릉전시관,6,1747
2011,01,서대문형무소역사관,0,18407
2011,01,서대문자연사박물관,0,34551
2011,01,트릭아이미술관,0,10128
2011,01,헌릉ㆍ인릉,168,736
2011,01,선릉·정릉,1365,13486
2011,01,롯데월드,29335,494730
2011,02,창덕궁,18114,73330
2011,02,운현궁,0,10682
2011,02,경복궁,44906,230814
2011,02,창경궁,914,35708
2011,02,종묘,8534,17078
2011,02,국립중앙박물관,0,224691
2011,02,서울역사박물관,0,64148
2011,02,덕수궁,8269,132920
2011,02,서울시립미술관 본관,0,171376
2011,02,태릉 ·  강릉 · 조선왕릉전시관,2,1943
2011,02,서대문형무소역사관,0,14387
2011,02,서대문자연사박물관,0,20934
2011,02,트릭아이미술관,0,15695
2011,02,헌릉ㆍ인릉,168,1730
2011,02,선릉·정릉,1307,18578
2011,02,롯데월드,33180,506321
2011,03,창덕궁,28749,78705
2011,03,운현궁,0,10024
2011,03,경복궁,73166,228276
2011,03,창경궁,1664,29856
2011,03,종묘,13186,22238
2011,03,국립중앙박물관,0,184565
2011,03,서울역사박물관,0,72844
2011,03,덕수궁,10311,64869
2011,03,서울시립미술관 본관,0,260687
2011,03,태릉 ·  강릉 · 조선왕릉전시관,2,3000
2011,03,서대문형무소역사관,0,47554
2011,03,서대문자연사박물관,0,18641
2011,03,트릭아이미술관,0,11468
2011,03,헌릉ㆍ인릉,351,2085
2011,03,선릉·정릉,2546,22696
2011,03,롯데월드,23335,288170
2011,04,창덕궁,33551,129150
2011,04,운현궁,0,17574
2011,04,경복궁,89972,349368
2011,04,창경궁,1687,70101
2011,04,종묘,13436,30470
2011,04,국립중앙박물관,0,240861
2011,04,서울역사박물관,0,128120
2011,04,덕수궁,12037,85548
2011,04,서울시립미술관 본관,0,56024
2011,04,태릉 ·  강릉 · 조선왕릉전시관,1,8029
2011,04,서대문형무소역사관,0,66009
2011,04,서대문자연사박물관,0,24078
2011,04,트릭아이미술관,0,11577
2011,04,헌릉ㆍ인릉,255,5212
2011,04,선릉·정릉,3038,43184
2011,04,롯데월드,23615,446939
2011,05,창덕궁,33678,151833
2011,05,운현궁,0,27575
2011,05,경복궁,80539,438567
2011,05,창경궁,1872,78017
2011,05,종묘,15798,56106
2011,05,국립중앙박물관,0,307969
2011,05,서울역사박물관,0,155529
2011,05,덕수궁,11964,103100
2011,05,서울시립미술관 본관,0,279310
2011,05,태릉 ·  강릉 · 조선왕릉전시관,0,17108
2011,05,서대문형무소역사관,0,72267
2011,05,서대문자연사박물관,0,25593
2011,05,트릭아이미술관,0,9507
2011,05,헌릉ㆍ인릉,314,6201
2011,05,선릉·정릉,3728,44836
2011,05,롯데월드,18532,474422
2011,06,창덕궁,34882,108262
2011,06,운현궁,0,13609
2011,06,경복궁,70120,252185
2011,06,창경궁,2223,40319
2011,06,종묘,17166,28144
2011,06,국립중앙박물관,0,214570
2011,06,서울역사박물관,0,115230
2011,06,덕수궁,10549,81489
2011,06,서울시립미술관 본관,0,178302
2011,06,태릉 ·  강릉 · 조선왕릉전시관,2,8912
2011,06,서대문형무소역사관,0,65633
2011,06,서대문자연사박물관,0,25607
2011,06,트릭아이미술관,0,6916
2011,06,헌릉ㆍ인릉,419,5840
2011,06,선릉·정릉,4998,38306
2011,06,롯데월드,27591,335882
2011,07,창덕궁,33502,91527
2011,07,운현궁,0,10498
2011,07,경복궁,141034,275074
2011,07,창경궁,2415,31333
2011,07,종묘,17675,25886
2011,07,국립중앙박물관,0,331836
2011,07,서울역사박물관,0,116639
2011,07,덕수궁,11172,81544
2011,07,서울시립미술관 본관,0,34784
2011,07,태릉 ·  강릉 · 조선왕릉전시관,31,3562
2011,07,서대문형무소역사관,0,22029
2011,07,서대문자연사박물관,0,29552
2011,07,트릭아이미술관,0,18544
2011,07,헌릉ㆍ인릉,349,2053
2011,07,선릉·정릉,4072,22506
2011,07,롯데월드,53028,478147
2011,08,창덕궁,39302,134374
2011,08,운현궁,0,6490
2011,08,경복궁,169329,386264
